event_id,event_date,event_type_wikidata,event_description,wikidata_url,date_precision,confirmed,needs_verification,house_domain,valence,curacion_nota
5758d37d4cf1,1957-02-18,nomination_not_won_P1411,Nominated for: Academy Award for Best Actor,http://www.wikidata.org/entity/Q103916,day,True,False,10,negative,Public award nomination loss — verified H10 negative
eba0bd3dd6bc,1956-02-18,nomination_not_won_P1411,Nominated for: Academy Award for Best Actor,http://www.wikidata.org/entity/Q103916,day,True,False,10,negative,Public award nomination loss — verified H10 negative
62db7346e594,1936-01-01,nomination_not_won_P1411,Nominated for: Nobel Prize in Literature,http://www.wikidata.org/entity/Q37922,day,False,True,10,negative,"Nobel nominations — public but date imprecise, verify"
c1ebabc02897,1948-01-01,nomination_not_won_P1411,Nominated for: Nobel Peace Prize,http://www.wikidata.org/entity/Q35637,day,False,True,10,negative,"Nobel nominations — public but date imprecise, verify"
23dbc91aadf5,1947-01-01,nomination_not_won_P1411,Nominated for: Nobel Peace Prize,http://www.wikidata.org/entity/Q35637,day,False,True,10,negative,"Nobel nominations — public but date imprecise, verify"
49b7433db2f6,1939-01-01,nomination_not_won_P1411,Nominated for: Nobel Peace Prize,http://www.wikidata.org/entity/Q35637,day,False,True,10,negative,"Nobel nominations — public but date imprecise, verify"
30503afda199,1938-01-01,nomination_not_won_P1411,Nominated for: Nobel Peace Prize,http://www.wikidata.org/entity/Q35637,day,False,True,10,negative,"Nobel nominations — public but date imprecise, verify"
5fbb6f6712a1,1937-01-01,nomination_not_won_P1411,Nominated for: Nobel Peace Prize,http://www.wikidata.org/entity/Q35637,day,False,True,10,negative,"Nobel nominations — public but date imprecise, verify"
d81864948b84,1895-05-25,legal_conviction_P1399,Convicted of: gross indecency,https://www.wikidata.org/wiki/Q30875#P1399,day,True,False,10,negative,Career-ending legal conviction — direct H10 negative
ea6973067bed,2023-01-01,nomination_not_won_P1411,Nominated for: Golden Globe Award for Best Actress – Television Series Musical or Comedy,http://www.wikidata.org/entity/Q1255210,day,True,False,10,negative,Public award nomination loss — verified H10 negative
832716b45ab7,1975-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Soul Gospel Performance,http://www.wikidata.org/entity/Q16994372,day,True,False,10,negative,Public award nomination loss — verified H10 negative
b13b53ddc407,1970-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Female R&B Vocal Performance,http://www.wikidata.org/entity/Q1934625,day,True,False,10,negative,Public award nomination loss — verified H10 negative
7ed24f9874fa,1986-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Music Video,http://www.wikidata.org/entity/Q2976730,day,True,False,10,negative,Public award nomination loss — verified H10 negative
832716b45ab7,1975-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Female R&B Vocal Performance,http://www.wikidata.org/entity/Q1934625,day,True,False,10,negative,Public award nomination loss — verified H10 negative
3632fcc73c5f,1985-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Female R&B Vocal Performance,http://www.wikidata.org/entity/Q1934625,day,True,False,10,negative,Public award nomination loss — verified H10 negative
7ed24f9874fa,1986-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Music Film,http://www.wikidata.org/entity/Q4992254,day,True,False,10,negative,Public award nomination loss — verified H10 negative
7ed24f9874fa,1986-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Rock Performance by a Duo or Group with Vocal,http://www.wikidata.org/entity/Q1542205,day,True,False,10,negative,Public award nomination loss — verified H10 negative
0fe74a6e820c,1988-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Solo Rock Vocal Performance,http://www.wikidata.org/entity/Q1542199,day,True,False,10,negative,Public award nomination loss — verified H10 negative
7edac66d7b93,1990-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Female Rock Vocal Performance,http://www.wikidata.org/entity/Q1542148,day,True,False,10,negative,Public award nomination loss — verified H10 negative
72dfb6938986,1991-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Female Rock Vocal Performance,http://www.wikidata.org/entity/Q1542148,day,True,False,10,negative,Public award nomination loss — verified H10 negative
1449ebe8a302,1998-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Music Film,http://www.wikidata.org/entity/Q4992254,day,True,False,10,negative,Public award nomination loss — verified H10 negative
c4cca0dca037,1993-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Female Rock Vocal Performance,http://www.wikidata.org/entity/Q1542148,day,True,False,10,negative,Public award nomination loss — verified H10 negative
3632fcc73c5f,1985-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Album of the Year,http://www.wikidata.org/entity/Q904528,day,True,False,10,negative,Public award nomination loss — verified H10 negative
7ed24f9874fa,1986-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Female Pop Vocal Performance,http://www.wikidata.org/entity/Q935283,day,True,False,10,negative,Public award nomination loss — verified H10 negative
54f597956336,1987-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Female Pop Vocal Performance,http://www.wikidata.org/entity/Q935283,day,True,False,10,negative,Public award nomination loss — verified H10 negative
977d1d607761,1994-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Female Pop Vocal Performance,http://www.wikidata.org/entity/Q935283,day,True,False,10,negative,Public award nomination loss — verified H10 negative
b695c4ebe056,1962-01-01,nomination_not_won_P1411,Nominated for: Grammy Award for Best Contemporary Song,http://www.wikidata.org/entity/Q5593779,day,True,False,10,negative,Public award nomination loss — verified H10 negative
4d23b2073b76,1952-01-01,legal_conviction_P1399,Convicted of: gross indecency,https://www.wikidata.org/wiki/Q7251#P1399,day,True,False,10,negative,Career-ending legal conviction — direct H10 negative
