id,name,issues,birth_date,birth_time,timezone,latitude,longitude
10090,Roberto Sánchez (Sandro) :: Astrodatas,invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
55075,"Ana De Austria, Infanta De España :: Astrodatas",invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
67690,"Carlos ""El Chacal"" :: Astrodatas",invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
81065,"Ana De Austria, Reina Consorte De España :: Astrodatas",invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
87830,"Isabel De Francia, Duquesa De Orleans :: Astrodatas",invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
98660,"John F. Kennedy, Jr. :: Astrodatas",invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
225745,"Enrique, Duque De Cornwall :: Astrodatas",invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
307970,Giovanni Agnelli (Gianni) :: Astrodatas,invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
343780,"Alfred Manuel ""Billy"" Martin :: Astrodatas",invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
381935,María De La Esperanza De Borbón-Dos Sicilias Y Orleans :: Astrodatas,invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
382550,Walter Gorn Old (Sepharial) :: Astrodatas,invalid_birth_date;missing_birth_time;invalid_timezone;missing_coordinates,,,,,
