id,name,birth_date,city,country,duplicate_count
14685,Michael Jackson :: Astrodatas,1958-08-29,,,3
71520,Pablo Iglesias Possé :: Astrodatas,1850-10-17,,,2
365515,Simón Bolívar :: Astrodatas,1783-07-24,,,2
370070,Barack Hussein Obama :: Astrodatas,1961-08-04,,,2
373425,Barack Hussein Obama :: Astrodatas,1961-08-04,,,2
373580,Michael Jackson :: Astrodatas,1958-08-29,,,3
379815,Elisa Carrió :: Astrodatas,1956-12-26,,,2
381085,Simón Bolívar :: Astrodatas,1783-07-24,,,2
382525,Elisa Carrió :: Astrodatas,1956-12-26,,,2
383530,Pablo Iglesias Possé :: Astrodatas,1850-10-17,,,2
383720,Augusto Tamayo Vargas :: Astrodatas,1914-09-06,,,2
383730,Augusto Tamayo Vargas :: Astrodatas,1914-09-06,,,2
385445,Michael Jackson :: Astrodatas,1958-08-29,,,3
385480,Javier Milei :: Astrodatas,1970-10-22,,,2
385490,Javier Milei :: Astrodatas,1970-10-22,,,2
