field,total,null_count,null_percent,unique_values
id,5359,0,0.0,5359
name,5359,0,0.0,5344
birth_date,5359,11,0.205,5128
birth_time,5359,11,0.205,981
time_precision,5359,0,0.0,2
timezone,5359,11,0.205,978
latitude,5359,11,0.205,2462
longitude,5359,11,0.205,2504
city,5359,5359,100.0,0
country,5359,5359,100.0,0
rodden_rating,5359,5359,100.0,0
source,5359,11,0.205,114
url,5359,0,0.0,5359
scrape_timestamp,5359,0,0.0,5359
scrape_source,5359,0,0.0,1
scrape_version,5359,0,0.0,1
html_hash,5359,0,0.0,5359
