id,name,latitude,longitude,city,country
10090,Roberto Sánchez (Sandro) :: Astrodatas,,,,
55075,"Ana De Austria, Infanta De España :: Astrodatas",,,,
67690,"Carlos ""El Chacal"" :: Astrodatas",,,,
81065,"Ana De Austria, Reina Consorte De España :: Astrodatas",,,,
87830,"Isabel De Francia, Duquesa De Orleans :: Astrodatas",,,,
98660,"John F. Kennedy, Jr. :: Astrodatas",,,,
225745,"Enrique, Duque De Cornwall :: Astrodatas",,,,
307970,Giovanni Agnelli (Gianni) :: Astrodatas,,,,
343780,"Alfred Manuel ""Billy"" Martin :: Astrodatas",,,,
381935,María De La Esperanza De Borbón-Dos Sicilias Y Orleans :: Astrodatas,,,,
382550,Walter Gorn Old (Sepharial) :: Astrodatas,,,,
